BOCES Code,Admin Unit,School Code,Fund Code,Location Code,SRE Code,Program Code,Obj/Srce Code,Job Class Code,Grant Code,Amount
9035,64203,0000,10,101,00,2510,0110,103,0000,10980900
9035,64203,0000,10,101,00,2300,0110,120,0000,7353750
9035,64203,0000,10,101,00,2510,0110,320,0000,1200000
9035,64203,0000,10,101,75,2510,0110,320,0000,432775
9035,64203,0000,10,101,79,2510,0110,320,0000,1731096
9035,64203,0000,10,101,00,2820,0110,345,0000,3366935
9035,64203,0000,10,101,00,2510,0110,501,0000,10338000
9035,64203,0000,10,101,00,2300,0110,506,0000,8527380
9035,64203,0000,10,101,00,2600,0110,630,0000,21865
9035,64203,0000,10,145,30,2200,0110,103,4048,549997
9035,64203,0000,10,172,00,2220,0110,506,0000,248689
9035,64203,0000,10,172,00,2220,0110,630,0000,344604
9035,64203,0000,10,205,00,2840,0110,381,0000,6153340
9035,64203,0000,10,206,00,2840,0110,380,0000,1292840
9035,64203,0000,10,218,00,2840,0110,380,0000,6564560
9035,64203,0000,10,218,00,2840,0110,382,0000,4338868
9035,64203,0000,10,230,00,2840,0110,108,0000,849381
9035,64203,0000,10,230,00,2840,0110,382,0000,615432
9035,64203,0000,10,239,00,2225,0110,506,0000,2105200
9035,64203,0000,10,502,00,1700,0110,202,3130,520625
9035,64203,0000,10,502,00,1700,0110,233,3130,45000
9035,64203,0000,10,502,00,2140,0110,236,3130,242880
9035,64203,0000,10,502,00,1700,0110,238,3130,80000
9035,64203,0000,10,502,00,1700,0110,416,3130,363350
9035,64203,0000,10,502,00,1700,0110,421,3130,263750
9035,64203,0000,10,504,00,2231,0110,102,3130,10537020
9035,64203,0000,10,504,00,2231,0110,102,5126,554580
9035,64203,0000,10,504,00,2231,0110,104,4027,7282403
9035,64203,0000,10,504,00,2840,0110,381,4027,405122
9035,64203,0000,10,504,00,2231,0110,506,4027,788424
9035,64203,0000,10,504,00,2231,0110,515,4027,3557294
9035,64203,0000,10,504,00,2231,0110,515,5126,604969
9035,64203,0000,10,505,00,1720,0110,202,3130,1404761
9035,64203,0000,10,505,00,1730,0110,202,4027,4170420
9035,64203,0000,10,505,00,2231,0110,358,4027,1979632
9035,64203,0000,10,508,00,1799,0110,416,3130,2040668
9035,64203,0000,10,509,00,2100,0110,355,5126,5748000
9035,64203,0000,10,509,00,2100,0110,423,5126,8250760
9035,64203,0000,10,510,00,2134,0110,409,0000,2038310
9035,64203,0000,10,516,00,1791,0110,202,3130,5381818
9035,64203,0000,10,516,00,2100,0110,330,3130,2974252
9035,64203,0000,10,516,00,2100,0110,330,4173,2974248
9035,64203,0000,10,516,15,2100,0110,330,3130,2472680
9035,64203,0000,10,516,00,1791,0110,416,3130,313760
9035,64203,0000,10,518,00,1790,0110,202,3130,6133500
9035,64203,0000,10,518,00,1790,0110,416,3130,7680900
9035,64203,0000,10,520,00,1770,0110,238,4027,20788730
9035,64203,0000,10,520,15,1770,0110,238,4027,3409020
9035,64203,0000,10,520,00,1770,0110,241,3130,0
9035,64203,0000,10,520,00,1770,0110,241,4027,3514800
9035,64203,0000,10,520,15,1770,0110,241,4027,4037400
9035,64203,0000,10,521,00,2113,0110,237,4027,9007400
9035,64203,0000,10,521,15,2113,0110,237,4027,5116200
9035,64203,0000,10,522,00,2140,0110,236,3130,10336393
9035,64203,0000,10,522,00,2140,0110,236,4027,13664153
9035,64203,0000,10,522,00,2140,0110,236,5126,6723407
9035,64203,0000,10,523,00,2161,0110,234,3130,4170480
9035,64203,0000,10,523,00,2161,0110,234,4027,5017272
9035,64203,0000,10,523,00,2161,0110,421,4027,2604800
9035,64203,0000,10,523,15,2161,0110,421,4027,3018700
9035,64203,0000,10,524,00,2150,0110,231,4027,4395916
9035,64203,0000,10,524,15,2150,0110,231,4027,1587050
9035,64203,0000,10,525,00,2194,0110,350,5126,5718900
9035,64203,0000,10,535,82,1720,0110,202,3130,2107139
9035,64203,0000,10,535,72,1730,0110,202,3130,463380
9035,64203,0000,10,535,68,1791,0110,202,3130,2006318
9035,64203,0000,10,535,78,1791,0110,202,3130,1003164
9035,64203,0000,10,535,72,2150,0110,231,3130,1098984
9035,64203,0000,10,535,87,2150,0110,231,3130,1587050
9035,64203,0000,10,607,00,2210,0110,103,0000,0
9035,64203,0000,10,607,00,2210,0110,107,0000,166425
9035,64203,0000,10,607,00,2210,0110,506,0000,1234692
9035,64203,0000,10,607,00,2210,0110,509,0000,1702499
9035,64203,0000,10,615,00,2213,0110,107,3150,5582900
9035,64203,0000,10,616,00,2830,0110,107,0000,1857200
9035,64203,0000,10,616,00,2830,0110,509,0000,3410121
9035,64203,0000,10,625,00,2213,0110,103,3150,800004
9035,64203,0000,10,626,00,2213,0110,107,3228,1890000
9035,64203,0000,10,643,00,2210,0110,103,0000,1075000
9035,64203,0000,10,643,00,2210,0110,218,0000,454545
9035,64203,0000,10,644,00,2100,0110,107,5413,339996
9035,64203,0000,10,644,00,0500,0110,218,5413,2084200
9035,64203,0000,10,645,00,2210,0110,103,0000,710004
9035,64203,0000,10,648,00,2210,0110,103,0000,537524
9035,64203,0000,10,685,00,2210,0110,103,0000,749004
9035,64203,0000,10,685,00,2210,0110,506,0000,1260720
9035,64203,0000,10,685,00,2210,0110,509,0000,681000
9035,64203,0000,10,686,00,2300,0110,107,3183,634464
9035,64203,0000,10,686,00,0030,0110,201,3183,6172136
9035,64203,0000,10,687,00,2300,0110,103,0000,483469
9035,64203,0000,10,687,00,2400,0110,105,0000,5830600
9035,64203,0000,10,687,00,0030,0110,201,0000,4288588
9035,64203,0000,10,705,00,2800,0110,103,4011,11479400
9035,64203,0000,10,705,00,2210,0110,107,4011,7849104
9035,64203,0000,10,705,00,3300,0110,107,4011,5133336
9035,64203,0000,10,705,00,2210,0110,108,4011,4686000
9035,64203,0000,10,705,00,0051,0110,201,4011,0
9035,64203,0000,10,705,00,2800,0110,320,4011,3072000
9035,64203,0000,10,705,00,2113,0110,322,4011,1662840
9035,64203,0000,10,705,00,2113,0110,358,4011,341000
9035,64203,0000,10,705,00,2800,0110,358,4011,48000
9035,64203,0000,10,705,00,2113,0110,382,4011,7865000
9035,64203,0000,10,705,00,2113,0110,405,4011,14919464
9035,64203,0000,10,705,00,3300,0110,405,4011,6039688
9035,64203,0000,10,705,00,0051,0110,415,4011,464000
9035,64203,0000,10,705,05,0500,0110,415,4011,1288500
9035,64203,0000,10,705,00,2800,0110,506,4011,5664363
9035,64203,0000,10,715,00,2800,0110,107,4010,2846005
9035,64203,0000,10,715,00,2500,0110,320,4010,528000
9035,64203,0000,10,715,00,2500,0110,506,4010,198000
9035,64203,0000,10,722,00,2800,0110,107,4367,150996
9035,64203,0000,10,725,00,2800,0110,107,4365,579997
9035,64203,0000,10,730,00,2113,0110,322,5196,2494260
9035,64203,0000,10,731,00,2113,0110,322,0000,176664
9035,64203,0000,10,616,00,2830,0190,218,0000,5148000
9035,64203,0000,10,101,00,2510,0200,103,0000,821304
9035,64203,0000,10,101,00,2300,0200,120,0000,842078
9035,64203,0000,10,101,00,2510,0200,320,0000,192494
9035,64203,0000,10,101,75,2510,0200,320,0000,65124
9035,64203,0000,10,101,79,2510,0200,320,0000,260507
9035,64203,0000,10,101,00,2820,0200,345,0000,573328
9035,64203,0000,10,101,00,2510,0200,501,0000,1516676
9035,64203,0000,10,101,00,2300,0200,506,0000,1313920
9035,64203,0000,10,101,00,2600,0200,630,0000,383
9035,64203,0000,10,145,30,2200,0200,103,4048,48061
9035,64203,0000,10,172,00,2220,0200,506,0000,112671
9035,64203,0000,10,172,00,2220,0200,630,0000,6031
9035,64203,0000,10,205,00,2840,0200,381,0000,241438
9035,64203,0000,10,206,00,2840,0200,380,0000,160304
9035,64203,0000,10,218,00,2840,0200,380,0000,672313
9035,64203,0000,10,218,00,2840,0200,382,0000,688358
9035,64203,0000,10,230,00,2840,0200,108,0000,14865
9035,64203,0000,10,230,00,2840,0200,382,0000,79259
9035,64203,0000,10,239,00,2225,0200,506,0000,379106
9035,64203,0000,10,502,00,1700,0200,202,3130,9166
9035,64203,0000,10,502,00,1700,0200,233,3130,788
9035,64203,0000,10,502,00,2140,0200,236,3130,4858
9035,64203,0000,10,502,00,1700,0200,238,3130,1564
9035,64203,0000,10,502,00,1700,0200,416,3130,6423
9035,64203,0000,10,502,00,1700,0200,421,3130,4975
9035,64203,0000,10,504,00,2231,0200,102,3130,850822
9035,64203,0000,10,504,00,2231,0200,102,5126,44770
9035,64203,0000,10,504,00,2231,0200,104,4027,819443
9035,64203,0000,10,504,00,2840,0200,381,4027,8395
9035,64203,0000,10,504,00,2231,0200,506,4027,25294
9035,64203,0000,10,504,00,2231,0200,515,4027,687346
9035,64203,0000,10,504,00,2231,0200,515,5126,112397
9035,64203,0000,10,505,00,1720,0200,202,3130,299688
9035,64203,0000,10,505,00,1730,0200,202,4027,693521
9035,64203,0000,10,505,00,2231,0200,358,4027,35460
9035,64203,0000,10,508,00,1799,0200,416,3130,720013
9035,64203,0000,10,509,00,2100,0200,355,5126,792327
9035,64203,0000,10,509,00,2100,0200,423,5126,1893438
9035,64203,0000,10,510,00,2134,0200,409,0000,35670
9035,64203,0000,10,516,00,1791,0200,202,3130,1057675
9035,64203,0000,10,516,00,2100,0200,330,3130,399581
9035,64203,0000,10,516,00,2100,0200,330,4173,399574
9035,64203,0000,10,516,15,2100,0200,330,3130,319652
9035,64203,0000,10,516,00,1791,0200,416,3130,5492
9035,64203,0000,10,518,00,1790,0200,202,3130,791377
9035,64203,0000,10,518,00,1790,0200,416,3130,1501408
9035,64203,0000,10,520,00,1770,0200,238,4027,3173242
9035,64203,0000,10,520,15,1770,0200,238,4027,473857
9035,64203,0000,10,520,00,1770,0200,241,3130,0
9035,64203,0000,10,520,00,1770,0200,241,4027,749496
9035,64203,0000,10,520,15,1770,0200,241,4027,763768
9035,64203,0000,10,521,00,2113,0200,237,4027,1534352
9035,64203,0000,10,521,15,2113,0200,237,4027,784795
9035,64203,0000,10,522,00,2140,0200,236,3130,2005015
9035,64203,0000,10,522,00,2140,0200,236,4027,1621782
9035,64203,0000,10,522,00,2140,0200,236,5126,1220961
9035,64203,0000,10,523,00,2161,0200,234,3130,817353
9035,64203,0000,10,523,00,2161,0200,234,4027,782879
9035,64203,0000,10,523,00,2161,0200,421,4027,787022
9035,64203,0000,10,523,15,2161,0200,421,4027,740163
9035,64203,0000,10,524,00,2150,0200,231,4027,630728
9035,64203,0000,10,524,15,2150,0200,231,4027,35792
9035,64203,0000,10,525,00,2194,0200,350,5126,118528
9035,64203,0000,10,535,82,1720,0200,202,3130,449543
9035,64203,0000,10,535,72,1730,0200,202,3130,77052
9035,64203,0000,10,535,68,1791,0200,202,3130,312480
9035,64203,0000,10,535,78,1791,0200,202,3130,156240
9035,64203,0000,10,535,72,2150,0200,231,3130,157683
9035,64203,0000,10,535,87,2150,0200,231,3130,36019
9035,64203,0000,10,607,00,2210,0200,103,0000,0
9035,64203,0000,10,607,00,2210,0200,107,0000,2914
9035,64203,0000,10,607,00,2210,0200,506,0000,164286
9035,64203,0000,10,607,00,2210,0200,509,0000,236256
9035,64203,0000,10,613,00,2213,0200,107,0000,782408
9035,64203,0000,10,615,00,2213,0200,107,3150,0
9035,64203,0000,10,616,00,2830,0200,107,0000,32502
9035,64203,0000,10,616,00,2830,0200,218,0000,90094
9035,64203,0000,10,616,00,2830,0200,509,0000,458816
9035,64203,0000,10,625,00,2213,0200,103,3150,69928
9035,64203,0000,10,626,00,2213,0200,107,3228,215108
9035,64203,0000,10,643,00,2210,0200,103,0000,87800
9035,64203,0000,10,643,00,2210,0200,218,0000,7955
9035,64203,0000,10,644,00,2100,0200,107,5413,29728
9035,64203,0000,10,644,00,0500,0200,218,5413,36473
9035,64203,0000,10,645,00,2210,0200,103,0000,62068
9035,64203,0000,10,648,00,2210,0200,103,0000,34201
9035,64203,0000,10,685,00,2210,0200,103,0000,65452
9035,64203,0000,10,685,00,2210,0200,506,0000,227412
9035,64203,0000,10,685,00,2210,0200,509,0000,94500
9035,64203,0000,10,686,00,2300,0200,107,3183,86980
9035,64203,0000,10,686,00,0030,0200,201,3183,1244034
9035,64203,0000,10,687,00,2300,0200,103,0000,54451
9035,64203,0000,10,687,00,2400,0200,105,0000,785197
9035,64203,0000,10,687,00,0030,0200,201,0000,824217
9035,64203,0000,10,705,00,2800,0200,103,4011,905276
9035,64203,0000,10,705,00,2210,0200,107,4011,905543
9035,64203,0000,10,705,00,3300,0200,107,4011,704476
9035,64203,0000,10,705,00,2210,0200,108,4011,97920
9035,64203,0000,10,705,00,0051,0200,201,4011,0
9035,64203,0000,10,705,00,2800,0200,320,4011,492800
9035,64203,0000,10,705,00,2113,0200,322,4011,304296
9035,64203,0000,10,705,00,2113,0200,358,4011,5971
9035,64203,0000,10,705,00,2800,0200,358,4011,840
9035,64203,0000,10,705,00,2113,0200,382,4011,1505296
9035,64203,0000,10,705,00,2113,0200,405,4011,2896551
9035,64203,0000,10,705,00,3300,0200,405,4011,1419982
9035,64203,0000,10,705,00,0051,0200,415,4011,8120
9035,64203,0000,10,705,05,0500,0200,415,4011,22552
9035,64203,0000,10,705,00,2800,0200,506,4011,777106
9035,64203,0000,10,715,00,2800,0200,107,4010,248755
9035,64203,0000,10,715,00,2500,0200,320,4010,84706
9035,64203,0000,10,715,00,2500,0200,506,4010,44380
9035,64203,0000,10,722,00,2800,0200,107,4367,13190
9035,64203,0000,10,725,00,2800,0200,107,4365,50585
9035,64203,0000,10,730,00,2113,0200,322,5196,456456
9035,64203,0000,10,731,00,2113,0200,322,0000,3416
9035,64203,0000,10,101,00,2510,0230,103,0000,1861072
9035,64203,0000,10,101,00,2300,0230,120,0000,1784834
9035,64203,0000,10,101,00,2510,0230,320,0000,214800
9035,64203,0000,10,101,75,2510,0230,320,0000,79414
9035,64203,0000,10,101,79,2510,0230,320,0000,317657
9035,64203,0000,10,101,00,2820,0230,345,0000,607488
